,targetRisk,targetReturn,ALASKA.AIR,BESTBUY,COCACOLA,FACEBOOK,HILTON,HP,JPMORGAN,MARRIOTT,UNITED,VERIZON
1,0.038874252,0.005987333,0,0,0.999999932,0,0,0,0,0,0,6.76E-08
2,0.036313508,0.006225293,0,0,0.819591218,0,0,0,0,0,0,0.180408782
3,0.035226281,0.006463252,0,0,0.742164624,0,0.01794024,0,0.016407409,0,0,0.223487727
4,0.034322914,0.006701211,0.00435209,0,0.70355083,0,0.027110767,0,0.042640241,0,0,0.222346072
5,0.033500479,0.00693917,0.010217764,0,0.677345115,0.011994674,0.02857975,0,0.052543258,0,0,0.21931944
6,0.032720029,0.007177129,0.015237367,0,0.653070944,0.026287813,0.029236623,0,0.060247056,0,0,0.215920198
7,0.031983803,0.007415088,0.020256969,0,0.628796773,0.040580952,0.029893497,0,0.067950854,0,0,0.212520955
8,0.031294922,0.007653048,0.025276572,0,0.604522603,0.054874091,0.03055037,0,0.075654651,0,0,0.209121713
9,0.030656576,0.007891007,0.030296174,0,0.580248432,0.069167231,0.031207243,0,0.083358449,0,0,0.205722471
10,0.030071985,0.008128966,0.035315777,0,0.555974261,0.08346037,0.031864117,0,0.091062247,0,0,0.202323228
11,0.02954434,0.008366925,0.040335379,0,0.531700091,0.097753509,0.03252099,0,0.098766045,0,0,0.198923986
12,0.029076741,0.008604884,0.045354982,0,0.50742592,0.112046648,0.033177864,0,0.106469843,0,0,0.195524744
13,0.028672126,0.008842844,0.050374584,0,0.483151749,0.126339787,0.033834737,0,0.114173641,0,0,0.192125501
14,0.028332632,0.009080803,0.053583931,0,0.461161656,0.139971219,0.032970103,0,0.121548122,0,0.002600067,0.188164902
15,0.028053825,0.009318762,0.053405958,0,0.443445491,0.152364472,0.029258447,0,0.128306392,0,0.010065339,0.183153901
16,0.027835527,0.009556721,0.053215272,9.03E-05,0.42571032,0.16475055,0.025499421,0,0.135035065,0,0.017530073,0.178169017
17,0.027677623,0.00979468,0.052585133,0.003301413,0.407318158,0.176888587,0.020102874,0,0.140740638,0,0.024976219,0.174086979
18,0.027579761,0.010032639,0.051954993,0.006512543,0.388925996,0.189026624,0.014706327,0,0.146446211,0,0.032422365,0.170004941
19,0.027542581,0.010270599,0.051324854,0.009723674,0.370533834,0.201164661,0.00930978,0,0.152151784,0,0.039868511,0.165922902
20,0.027566329,0.010508558,0.050694714,0.012934804,0.352141673,0.213302698,0.003913233,0,0.157857358,0,0.047314657,0.161840864
21,0.027650936,0.010746517,0.050216143,0.015922336,0.333172666,0.225447573,0,0,0.163392561,0,0.054345222,0.1575035
22,0.027797506,0.010984476,0.050137433,0.018319979,0.312681844,0.237610489,0,0,0.1684783,0,0.060279415,0.152492541
23,0.028003432,0.011222435,0.050581726,0.018732254,0.293370366,0.247370058,0,0,0.171630576,0.007363977,0.063698803,0.14725224
24,0.028259107,0.011460395,0.051336641,0.017965374,0.274759326,0.255702227,0,0,0.173634525,0.019101585,0.065624593,0.141875728
25,0.028562417,0.011698354,0.052091557,0.017198494,0.256148286,0.264034395,0,0,0.175638475,0.030839193,0.067550384,0.136499215
26,0.028911863,0.011936313,0.052846473,0.016431615,0.237537246,0.272366564,0,0,0.177642425,0.042576801,0.069476174,0.131122703
27,0.029305795,0.012174272,0.053601389,0.015664735,0.218926206,0.280698733,0,0,0.179646374,0.054314409,0.071401964,0.125746191
28,0.029742445,0.012412231,0.054356304,0.014897856,0.200315166,0.289030901,0,0,0.181650324,0.066052017,0.073327754,0.120369678
29,0.030219962,0.01265019,0.05511122,0.014130976,0.181704126,0.29736307,0,0,0.183654273,0.077789624,0.075253544,0.114993166
30,0.03073644,0.01288815,0.055866136,0.013364096,0.163093086,0.305695239,0,0,0.185658223,0.089527232,0.077179334,0.109616653
31,0.031289951,0.013126109,0.056621052,0.012597217,0.144482046,0.314027407,0,0,0.187662173,0.10126484,0.079105124,0.104240141
32,0.031878565,0.013364068,0.057375967,0.011830337,0.125871007,0.322359576,0,0,0.189666122,0.113002448,0.081030914,0.098863629
33,0.032500376,0.013602027,0.058130883,0.011063458,0.107259967,0.330691745,0,0,0.191670072,0.124740056,0.082956704,0.093487116
34,0.033153515,0.013839986,0.058885799,0.010296578,0.088648927,0.339023913,0,0,0.193674021,0.136477664,0.084882494,0.088110604
35,0.033836169,0.014077946,0.059640715,0.009529698,0.070037887,0.347356082,0,0,0.195677971,0.148215272,0.086808284,0.082734091
36,0.034546587,0.014315905,0.06039563,0.008762819,0.051426847,0.35568825,0,0,0.197681921,0.159952879,0.088734075,0.077357579
37,0.035283094,0.014553864,0.061150546,0.007995939,0.032815807,0.364020419,0,0,0.19968587,0.171690487,0.090659865,0.071981067
38,0.036044089,0.014791823,0.061905462,0.00722906,0.014204767,0.372352588,0,0,0.20168982,0.183428095,0.092585655,0.066604554
39,0.036828606,0.015029782,0.061816038,0.005804605,0,0.380831768,0,0,0.202944198,0.195801731,0.095573112,0.057228548
40,0.037648292,0.015267741,0.059004666,0.002260285,0,0.38978488,0,0,0.201782139,0.210225768,0.101983128,0.034959134
41,0.038506544,0.015505701,0.055885721,0,0,0.399022051,0,0,0.200331204,0.223663481,0.108741599,0.012355944
42,0.039422651,0.01574366,0.044752948,0,0,0.411663421,0,0,0.181424368,0.238536783,0.123622481,0
43,0.040527612,0.015981619,0.025098676,0,0,0.427616687,0,0,0.143190802,0.257027211,0.147066624,0
44,0.041831112,0.016219578,0.005444404,0,0,0.443569953,0,0,0.104957236,0.275517639,0.170510768,0
45,0.043329384,0.016457537,0,0,0,0.460951986,0,0,0.055038598,0.296889722,0.187119693,0
46,0.045039472,0.016695497,0,0,0,0.478881441,0,0,0.000642913,0.31936589,0.201109756,0
47,0.048833115,0.016933456,0,0,0,0.520350366,0,0,0,0.126953824,0.35269581,0
48,0.056573954,0.017171415,0,0,0,0.466205748,0,0,0,0,0.533794252,0
49,0.072462937,0.017409374,0,0,0,0.233102874,0,0,0,0,0.766897126,0
50,0.093601408,0.017647333,0,0,0,2.58E-07,0,0,0,0,0.999999742,0
